no;gambar;teks_asli;alergen_asli;status_halal
1;1.jpg;Tepung terigu, ikan tengiri, bawang, cabai, penyedap rasa, garam, gula, minyak, kencur, & daun jeruk;gandum & gluten, ikan;halal aman
2;2.jpg;Wheat Flour, Sugar, Vegetable Oil, Cocoa Powder, Full Cream Milk, Banana Powder, Emulsifier (Soya Lecithin (E322)), Salt, Caramel Colour (E150d), Banana Flavor.;gandum & gluten, susu, kedelai;titik kritis
3;3.jpg;Kiwi, Peach, Strawberry, Jujube, Corn Oil, Kiwi, Persik, Stroberi, Kurma, Minyak Jagung.;tidak ada;halal aman
4;4.jpg;Strawberries, Corn Oil, Stroberi, Minyak Jagung.;tidak ada;halal aman
5;5.jpg;Pisang, Coklat, Gula, Perasa , banana, chocolate, Sugar, Flavoring;tidak ada;titik kritis
6;6.jpg;Kacang Polong (59.5%), Minyak Kelapa Sawit, Gula, Garam, Penguat Rasa (Mononatrium L-glutamat);tidak ada;halal aman
7;7.jpg;Sugar, Maltodextrin, Acidity Regulator, Carrageenan (19%), Konjac Powder, Dietary Fiber, Synthetic Flavour, Synthetic Food Colour Sunset Yellow FCF CI 15985.;tidak ada;titik kritis
8;8.jpg;Sari Kelapa (50%), Air, Gula, Perisa Sintetik Cocopandan, Pengatur Keasaman (Asam Sitrat), Pengawet Natrium Benzoat. Tanpa Pemanis Buatan.;tidak ada;titik kritis
9;9.jpg;Organic whole grain brown rice, organic whole grain quinoa, organic brown flax seeds, organic brown sesame seeds, filtered water, sea salt, organic wheat free tamari (water, whole organic soybeans, salt, organic vinegar).;gandum & gluten, susu, wijen;halal aman
10;10.jpg;Bananas, Palm Oil, Sugar, Flavors. Pisang, Minyak Kelapa Sawit, Gula, Perasa.;tidak ada;titik kritis
11;11.jpg;Enriched Wheat Flour(niacin, iron, thiamine and riboflavin), Egg, Starch, Salt, Potassium Carbonate, FD&C Yellow No. 5, and less than 0.1% of Sodium Benzoate.;gandum & gluten, telur;halal aman
12;12.jpg;Yellow Corn, Vegetable Oil (Corn, Canola, and/or Sunflower Oil), and Salt.;tidak ada;halal aman
13;13.jpg;Potatoes (65%), Palm Olein Oil, Seasoning (contains Sugar, Flavour Enhancer Monosodium Glutamate, Salt, Milk Powder, Flavour Enhancer Disodium Inosinate and Disodium Guanylate, Antioxidant Ascorbic Acid and Alpha Tocopherol, Soybean, Wheat), Beef Extract (0.03%).;susu, kedelai, gandum & gluten;halal aman
14;14.jpg;Rumput Laut (65%), Minyak Jagung, Bumbu Keju(3%), (mengandung keju (17%), Susu, penguat rasa dinatrium 5 ribonukleotida), Garam;susu;halal aman
15;15.jpg;Tepung Terigu, Telur, Air. Minyak Nabati, Bumbu, Rempah - Rempah. Wheat Flour, Egg, Water, Vegetable Oil, Seasoning, Spices;gandum & gluten, telur;halal aman
16;16.jpg;Potatoes, Vegetable Oil(Sunflower, Corn, and/or Canola Oil), BLT Seasoning (Maltodextrin [Made From Corn], Salt, Sour Cream [Cultured Cream, Skim Milk), Sugar, Tomato Powder, Natural Flavors [Including Natural Bacon Type Flavor and Natural Lettuce Type Flavor], Spices, Dextrose, Whey, Medium Chain Triglycerides, Brown Sugar, and Paprika Extracts).;susu;haram
17;17.jpg;Whole Organic Blue Corn, Expeller-Pressed Sunflower Oil, and Sea Salt, No Preservatives.;tidak ada;halal aman
18;18.jpg;Pati Kentang (59,52%), Gula, Maltodekstrin, Sirup Glukosa, Telur (3,50%), Susu Bubuk (2,79%), Premiks Vitamin & Mineral, Perisa Sintetik.;telur, susu;titik kritis
19;19.jpg;Jagung, beras putih, bayam bubuk, susu bubuk, bumbu non msg, vitamin premix, minyak, garam.;susu;halal aman
20;20.jpg;Tepung Terigu, Kacang Tanah, Gula, Minyak Nabati, Garam, Kuning Telur.;gandum & gluten, kacang tanah, telur;halal aman
21;21.jpg;Rice flour (25%), palm olein, wheat starch (19%), wheat flour, sugar, oat flour, blueberry powder (4,5%), premix (vitamin, mineral), fish oil, synthetic vanillin flavor.;gandum & gluten, ikan;titik kritis
22;22.jpg;Tepung beras (25%), minyak nabati, pati gandum (19%), tepung gandum, gula, tepung oat, bubuk bluberi (4.5%), premiks (vitamin, mineral), minyak ikan, perisa sintetik vanilin.;gandum & gluten, ikan;titik kritis
23;23.jpg;SUGAR, VEGETABLE OIL, HAZELNUTS (13%), SKIM MILK POWDER (8.7%), FAT-REDUCED COCOA POWDER (7.4%), EMULSIFIER (SOY LECITHIN), FLAVOURING (VANILLIN).;kacang pohon, susu, kedelai;titik kritis
24;24.jpg;Beras (60.4732%), Minyak Nabati, Gula Pasir, Glukosa, Pati Kentang, Keju Bubuk (3.75%), Garam, Kecap Bubuk (Mengandung Kedelai), Penguat Rasa Mononatrium L-Glutamat, Antioksidan TBHQ.;susu, kedelai;halal aman
25;25.jpg;Dried Potatoes, Corn Starch,Corn Oil, Sugar, Sea Salt, Soy Lecithin, Dextrose, and Annatto Extracts.;kedelai;halal aman
26;26.jpg;Filtered Water, Mango Juice, Pure Cane Sugar, Citric Acid.;tidak ada;halal aman
27;27.jpg;Beras Cokelat (53.42%), Beras Putih, Minyak Kelapa, Bumbu Bawang Putih Goreng (9.03%) (Mengandung Bawang Putih Bubuk (35%), Antioksidan Tokoferol).;tidak ada;halal aman
28;28.jpg;Brown Rice (53.42%), White Rice, Coconut Oil, Fried Garlic Seasoning (9.03%) (Contains Garlic Powder (35%), Antioxidant Tocopherol).;tidak ada;halal aman
29;29.jpg;oat, kurma, gula kelapa, biji chia, almond, santan bubuk, bubuk madu, garam.;gandum & gluten, kacang pohon;halal aman
30;30.jpg;oat, dates, coconut sugar, chia seed, almond, coconut milk powder, honey powder, salt.;gandum & gluten, kacang pohon;halal aman
31;31.jpg;oat, gula kelapa, pisang, biji chia, almond, bubuk cocoa, santan bubuk, garam.;gandum & gluten, kacang pohon;halal aman
32;32.jpg;oat, coconut sugar, banana, chia seeds, almond, cocoa powder, coconut milk powder, salt.;gandum & gluten, kacang pohon;halal aman
