no;gambar;teks_asli;alergen_asli;status_halal
1;1.jpg;Tepung terigu, ikan tengiri, bawang, cabai, penyedap rasa, garam, gula, minyak, kencur, & daun jeruk;gandum & gluten, ikan;halal aman
2;2.jpg;Wheat Flour, Sugar, Vegetable Oil, Cocoa Powder, Full Cream Milk, Banana Powder, Emulsifier (Soya Lecithin (E322)), Salt, Caramel Colour (E150d), Banana Flavor.;gandum & gluten, susu, kedelai;titik kritis
3;3.jpg;Komposisi:
Tepung Terigu, Lemak Nabati (Mengandung Antioksidan Tokoferol), Gula, Sayuran (Bawang Bombay (6.8%), Wortel (4.09%), Daun Bawang (3.72%), Seledri (0.74%)). Pengembang (Amonium Bikarbonat dan Natrium Bikarbonat), Wijen, Garam, Sirup Glukosa, Penguat Rasa Mononatrium Glutamat (MSG), Pengemulsi Lesitin Kedelai, Merica Bubuk;gandum & gluten;halal aman
4;4.jpg;Komposisi:
Tepung Terigu, Lemak Nabati (Mengandung Antioksidan Tokoferol), Gula, Sayuran (Bawang Bombay (6.8%), Wortel (4.09%), Daun Bawang (3.72%), Seledri (0.74%)). Pengembang (Amonium Bikarbonat dan Natrium Bikarbonat), Wijen, Garam, Sirup Glukosa, Penguat Rasa Mononatrium Glutamat (MSG), Pengemulsi Lesitin Kedelai, Merica Bubuk;gandum & gluten;halal aman
5;5.jpg;Gula, Maltodekstrin, Pengatur Keasaman, Konnyaku Bubuk, Serat Pangan, Karagenan (10.7%), Garam Kalium, Perisa Sintetik, Penstabil Nabati, Pewarna Makanan Sintetik (Tartrazin CI 19140, Biru Berlian FCF CI 42090). Tanpa Pengawet.;tidak ada;titik kritis
6;6.jpg;Sugar, Maltodextrin, Acidity Regulator, Carrageenan (19%), Konjac Powder, Dietary Fiber, Synthetic Flavour, Synthetic Food Colour Sunset Yellow FCF CI 15985.;tidak ada;titik kritis
7;7.jpg;Sugar, Maltodextrin, Acidity Regulator, Carrageenan (19%), Konjac Powder, Dietary Fiber, Synthetic Flavour, Synthetic Food Colour Sunset Yellow FCF CI 15985.;tidak ada;titik kritis
8;8.jpg;Sari Kelapa (50%), Air, Gula, Perisa Sintetik Cocopandan, Pengatur Keasaman (Asam Sitrat), Pengawet Natrium Benzoat. Tanpa Pemanis Buatan.;tidak ada;titik kritis
9;9.jpg;Potatoes (60,9%), Palm Olein Oil, Garlic Chicken Seasoning (contains Sugar, Flavor Enhancer Monosodium Glutamate, Spices (Garlic, Pepper, Chili), Salt, Leek Flake, Soy Sauce (Contain Soy), Flavor Enhancer Disodium 5' Ribonucleotide (E635), Chicken Powder, Celery Powder).;kedelai;titik kritis
10;10.jpg;Bananas, Palm Oil, Sugar, Flavors. Pisang, Minyak Kelapa Sawit, Gula, Perasa.;tidak ada;titik kritis
11;11.jpg;Tepung Terigu, Minyak Kelapa Sawit, Tepung Beras, Sapi Panggang Seasoning, Gula, Tepung Tapioka, Pati Kentang, Garam, Kaldu Sapi, Garlic Powder, Ammonium Bicarbonate, Soda Kue, Baking Powder, Pewarna Makanan Kuning Sunset, TBHQ, Air;gandum & gluten;halal aman
12;12.jpg;Wheat Flour, Sugar, Vegetable Oil (contains Antioxidant TBHQ), Whey Powder, Cocoa Powder 4%, Maltodextrin, Corn Starch, Synthetic Flavour (contains Natural Colour Caramel IV Sulphite Ammonia Process), Emulsifier Soy Lecithin, Salt, Raising Agent, Vitamin (A, B1, B2, B6, B12).;gandum & gluten, susu, kedelai, sulfit;titik kritis
13;13.jpg;Potatoes (65%), Palm Olein Oil, Seasoning (contains Sugar, Flavour Enhancer Monosodium Glutamate, Salt, Milk Powder, Flavour Enhancer Disodium Inosinate and Disodium Guanylate, Antioxidant Ascorbic Acid and Alpha Tocopherol, Soybean, Wheat), Beef Extract (0.03%).;susu, kedelai, gandum & gluten;halal aman
14;14.jpg;Rumput Laut (65%), Minyak Jagung, Bumbu Keju(3%), (mengandung keju (17%), Susu, penguat rasa dinatrium 5 ribonukleotida), Garam;susu;halal aman
15;15.jpg;Tepung Terigu, Telur, Air. Minyak Nabati, Bumbu, Rempah - Rempah. Wheat Flour, Egg, Water, Vegetable Oil, Seasoning, Spices;gandum & gluten, telur;halal aman
16;16.jpg;Terigu, Ayam Bubuk (27.7%), Minyak Nabati, Bawang Putih Bubuk (mengandung pengawet sulfit), Perisa Sintetik, Gula Pasir, Garam, Cabe Bubuk, Penguat Rasa Mononatrium L-glutamat, Pengawet Kalium Sorbat.;gandum & gluten, sulfit;titik kritis
17;17.jpg;Wheat Flour, Sugar, Vegetable Oil, Leavening Agents (Ammonium Bicarbonate and Sodium Bicarbonate), Full Cream Milk Powder, Salt, Syntetic Milk Flavour, Flavour Enhancer Monosodium Glutamate (MSG), Synthetic Coloring Tartesszine Cl No. 19140.;gandum & gluten, susu;titik kritis
18;18.jpg;Pati Kentang (59,52%), Gula, Maltodekstrin, Sirup Glukosa, Telur (3,50%), Susu Bubuk (2,79%), Premiks Vitamin & Mineral, Perisa Sintetik.;telur, susu;titik kritis
19;19.jpg;Jagung, beras putih, bayam bubuk, susu bubuk, bumbu non msg, vitamin premix, minyak, garam.;susu;halal aman
20;20.jpg;Tepung Terigu, Kacang Tanah, Gula, Minyak Nabati, Garam, Kuning Telur.;gandum & gluten, kacang tanah, telur;halal aman
21;21.jpg;Rice flour (25%), palm olein, wheat starch (19%), wheat flour, sugar, oat flour, blueberry powder (4,5%), premix (vitamin, mineral), fish oil, synthetic vanillin flavor.;gandum & gluten, ikan;titik kritis
22;22.jpg;Tepung beras (25%), minyak nabati, pati gandum (19%), tepung gandum, gula, tepung oat, bubuk bluberi (4.5%), premiks (vitamin, mineral), minyak ikan, perisa sintetik vanilin.;gandum & gluten, ikan;titik kritis
23;23.jpg;SUGAR, VEGETABLE OIL, HAZELNUTS (13%), SKIM MILK POWDER (8.7%), FAT-REDUCED COCOA POWDER (7.4%), EMULSIFIER (SOY LECITHIN), FLAVOURING (VANILLIN).;kacang pohon, susu, kedelai;titik kritis
